epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,2440.38,1.59257,2.11978,1.6559,0.80064,0.29796,0.34986,0.15551,0.21734,1.05406,0.2332,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2867.74,1.57994,2.10692,1.63679,0.80381,0.30285,0.33053,0.14988,0.21457,1.21975,0.23019,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3296.17,1.59712,2.13165,1.65374,0.81639,0.2953,0.36343,0.16387,0.21461,1.22917,0.2317,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3725.4,1.62677,2.13273,1.69145,0.82096,0.29032,0.3642,0.16541,0.21587,1.18083,0.23338,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4155.39,1.57518,2.04389,1.64131,0.80434,0.31988,0.3491,0.15291,0.2186,1.10962,0.23555,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4584.16,1.59255,2.05199,1.62764,0.80321,0.31452,0.36395,0.15898,0.21575,0.96786,0.23274,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5013.7,1.54779,2.12926,1.6254,0.832,0.27419,0.34523,0.15199,0.21397,0.854,0.23113,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5443.88,1.58255,2.0707,1.63175,0.83318,0.28831,0.36054,0.15699,0.21178,1.0588,0.22832,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5873.14,1.56793,1.99308,1.60906,0.80654,0.29637,0.35901,0.15713,0.21335,1.04123,0.22903,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6303.23,1.56042,1.97642,1.63136,0.8201,0.29775,0.35772,0.1571,0.21484,0.94396,0.23071,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6733.29,1.53774,2.02182,1.61408,0.81753,0.30173,0.35782,0.15804,0.21588,0.8789,0.2325,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7162.3,1.51529,1.98407,1.59273,0.81612,0.30444,0.3617,0.1573,0.21571,0.94199,0.23254,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7588.72,1.34071,1.62868,1.44449,0.8032,0.31048,0.34834,0.15018,0.21595,0.86459,0.23263,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8013.38,1.34129,1.58396,1.45467,0.80902,0.30664,0.34953,0.15218,0.21568,0.89816,0.23165,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8437.05,1.33487,1.59216,1.43113,0.81025,0.31048,0.34826,0.15301,0.21662,0.85941,0.23272,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8859.77,1.27321,1.51614,1.37452,0.81539,0.30654,0.3505,0.15419,0.21583,0.78315,0.23231,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9285.82,1.29747,1.53838,1.40848,0.80599,0.30209,0.35212,0.1565,0.21672,0.73037,0.23269,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9712.3,1.27951,1.48339,1.39894,0.80951,0.30645,0.35068,0.15712,0.21764,0.70264,0.23351,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10138.7,1.28312,1.42564,1.39177,0.80874,0.30645,0.35228,0.15637,0.21771,0.7054,0.23337,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10565.7,1.27628,1.42058,1.38013,0.81755,0.30179,0.35578,0.1575,0.21864,0.68195,0.23369,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10992.3,1.28548,1.46224,1.39366,0.82569,0.30138,0.35931,0.15778,0.21861,0.64359,0.23329,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11419,1.2778,1.48348,1.38154,0.82423,0.30242,0.3581,0.1573,0.21844,0.63471,0.23313,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
